Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2011-05-01 00:00:00.000;8;3;5.184.238;195.832
2011-05-01 00:00:00.000;8;1;289.198.236;109.473.783
2011-05-01 00:00:00.000;19;1;226.361.452;24.293.088
2011-05-01 00:00:00.000;16;1;4.922.752;203.379
2011-05-01 00:00:00.000;9;1;28.274.756;6.817.479
2011-05-01 00:00:00.000;5;1;7.750.436;2.148.767
2011-05-01 00:00:00.000;6;1;444.396;0.843399999999995
2011-05-01 00:00:00.000;11;3;2.447.677;421.533
2011-05-01 00:00:00.000;4;4;2.149.076;147.099
2011-05-01 00:00:00.000;19;11;2.216.912;791.850.000.000.002
2011-05-01 00:00:00.000;19;4;3.461.293;267.595
2011-05-01 00:00:00.000;19;7;3.601.999;554.629
2011-05-01 00:00:00.000;18;1;177.474;840.343
2011-05-01 00:00:00.000;18;3;298.209;47.458
2011-06-01 00:00:00.000;6;1;474.132;29.736
2011-06-01 00:00:00.000;5;1;4.737.993;-3.012.443
2011-06-01 00:00:00.000;9;1;33.597.906;532.315
2011-06-01 00:00:00.000;16;1;6.260.967;1.338.215
2011-06-01 00:00:00.000;18;1;1.918.294;143.554
2011-06-01 00:00:00.000;18;3;314.774;16.565
2011-06-01 00:00:00.000;11;1;32.138.051;7.938.273
2011-06-01 00:00:00.000;11;8;1.228.315;0
2011-06-01 00:00:00.000;11;3;2.572.749;125.072
2011-06-01 00:00:00.000;7;3;0.7188;0.7188
2011-06-01 00:00:00.000;17;3;560.691;106.946
2011-06-01 00:00:00.000;8;1;342.855.351;53.657.115
2011-06-01 00:00:00.000;8;8;9.015.921;1.162.539
2011-06-01 00:00:00.000;8;3;7.641.536;2.457.298
2011-06-01 00:00:00.000;12;1;5.525.497;2.296.521
2011-06-01 00:00:00.000;12;3;21.950.263;3.758.251
2011-06-01 00:00:00.000;10;12;0.9222;0.9222
2011-06-01 00:00:00.000;13;1;1.686.835;3,43E+05
2011-06-01 00:00:00.000;13;8;199.551;-1,00E+10
2011-06-01 00:00:00.000;13;3;90.624;0.3399
2011-06-01 00:00:00.000;3;1;6.293.965;1.038.708
2011-06-01 00:00:00.000;17;1;3.153.157;4.162.749
2011-06-01 00:00:00.000;4;7;23.244.003;2.955.016
2011-06-01 00:00:00.000;4;11;10.560.129;245.808
2011-06-01 00:00:00.000;2;1;52848.5;65.267.144
2011-06-01 00:00:00.000;10;1;501.217.579;88.905.263
2011-06-01 00:00:00.000;10;8;11.718.853;210.467
2011-06-01 00:00:00.000;10;3;1.859.551;113.958
2011-06-01 00:00:00.000;19;1;258.201.053;31.839.601
2011-06-01 00:00:00.000;19;4;4.209.409;748.116
2011-06-01 00:00:00.000;19;7;4.153.359;55.136
